type,path,expected_size,actual_size,expected_hash,actual_hash,status
OTHER,hydrology/water_table_depth/02_water_table_depth_differences_2016.pdf,180686,180686,779062df0a6f251b4b635f95ec0e93226684598960effa068e4b58173e72e9bd,779062df0a6f251b4b635f95ec0e93226684598960effa068e4b58173e72e9bd,PASSED
CONFIG,hydrology/water_table_depth/processing_log.yaml,2620,2620,5b4a10d2ae4c756207e5aaea9655394bfb0c2868d6ca7d72262118caccc2870d,5b4a10d2ae4c756207e5aaea9655394bfb0c2868d6ca7d72262118caccc2870d,PASSED
OTHER,hydrology/total_runoff/01_total_runoff_annual_mean_2016.pdf,126846,126846,ee1a98163998c672c579f2d5a29f41ba2b261fd7edccec15360d651b58b2abd5,ee1a98163998c672c579f2d5a29f41ba2b261fd7edccec15360d651b58b2abd5,PASSED
CONFIG,hydrology/total_runoff/resolved_config.yaml,4420,4420,267b800226547ab7b6a5b6cc64b6f0f9ff22cccfd15ffcda3eae7c188282c732,267b800226547ab7b6a5b6cc64b6f0f9ff22cccfd15ffcda3eae7c188282c732,PASSED
IMAGE,hydrology/total_runoff/total_runoff_differences_2016.png,177203,177203,6a6d063b0e0abc29bf42aa7766b55aa007653b735ba05dc39e86e961de77d61f,6a6d063b0e0abc29bf42aa7766b55aa007653b735ba05dc39e86e961de77d61f,PASSED
OTHER,hydrology/total_runoff/02_total_runoff_differences_2016.pdf,127662,127662,c599f1a932d2a508f51bc6a8f7c8232165f2cb87217c18e0249c8539885f7860,c599f1a932d2a508f51bc6a8f7c8232165f2cb87217c18e0249c8539885f7860,PASSED
IMAGE,hydrology/total_runoff/total_runoff_domain_mean_timeseries_2016.png,430157,430157,a88a684cd513bfc06a3890675c92260f09e0c5723f8097071799a3453fcae78f,a88a684cd513bfc06a3890675c92260f09e0c5723f8097071799a3453fcae78f,PASSED
METRICS,hydrology/total_runoff/total_runoff_differences_2016.json,289,289,2a64dcd1fb3f0ce566a6a1aab0900b2597f7443da690487623284c8e71260b78,2a64dcd1fb3f0ce566a6a1aab0900b2597f7443da690487623284c8e71260b78,PASSED
METRICS,hydrology/total_runoff/total_runoff_domain_mean_timeseries_2016.json,306,306,31c74ba47fec7855a3023a47de97debb69baaccd9b662c59e53d801fe6b49aa1,31c74ba47fec7855a3023a47de97debb69baaccd9b662c59e53d801fe6b49aa1,PASSED
IMAGE,hydrology/total_runoff/01_total_runoff_annual_mean_2016.png,471500,471500,8082fad14121dbb4e27f5282bb073c04917d41604af4d850a3c651e707385f3f,8082fad14121dbb4e27f5282bb073c04917d41604af4d850a3c651e707385f3f,PASSED
IMAGE,hydrology/total_runoff/total_runoff_annual_mean_2016.png,136651,136651,f87aa6d8dce64171e0d79f8f9e7849fbc9cfb472ec654d62075c43410d44c7bb,f87aa6d8dce64171e0d79f8f9e7849fbc9cfb472ec654d62075c43410d44c7bb,PASSED
METRICS,hydrology/total_runoff/total_runoff_annual_mean_2016.json,291,291,18d122a845db74027a28b94f758cd7807c6046e49dcc7cf46bd8f5ff810ec918,18d122a845db74027a28b94f758cd7807c6046e49dcc7cf46bd8f5ff810ec918,PASSED
IMAGE,hydrology/total_runoff/03_total_runoff_domain_mean_timeseries_2016.png,978056,978056,a756c963f17791a91f163f92b0f8b4fda3a9451b98a0172aee6f9895617b6831,a756c963f17791a91f163f92b0f8b4fda3a9451b98a0172aee6f9895617b6831,PASSED
OTHER,hydrology/total_runoff/03_total_runoff_domain_mean_timeseries_2016.pdf,29176,29176,022e617d84f6f30d8c02c6a74e843d165bb2978f36014f6a3abcab1c4a116404,022e617d84f6f30d8c02c6a74e843d165bb2978f36014f6a3abcab1c4a116404,PASSED
IMAGE,hydrology/total_runoff/02_total_runoff_differences_2016.png,580190,580190,01df67d752b5f147e993118f8c13f6f9fa14ec2ccd78730cf65bf22cc852db3b,01df67d752b5f147e993118f8c13f6f9fa14ec2ccd78730cf65bf22cc852db3b,PASSED
